alphaticr.alphaticr,alphaticr.aromatic,alphaticr.postivecharger,alphaticr.negativecharger,alphaticr.uncharger,aromatic.alphaticr,aromatic.aromatic,aromatic.postivecharger,aromatic.negativecharger,aromatic.uncharger,postivecharger.alphaticr,postivecharger.aromatic,postivecharger.postivecharger,postivecharger.negativecharger,postivecharger.uncharger,negativecharger.alphaticr,negativecharger.aromatic,negativecharger.postivecharger,negativecharger.negativecharger,negativecharger.uncharger,uncharger.alphaticr,uncharger.aromatic,uncharger.postivecharger,uncharger.negativecharger,uncharger.uncharger
0.06,0.02,0.04,0.0,0.1,0.06,0.06,0.08,0.0,0.06,0.06,0.04,0.02,0.0,0.04,0.0,0.02,0.0,0.0,0.02,0.02,0.12,0.02,0.04,0.12
0.1322751322751322,0.0634920634920634,0.0317460317460317,0.0211640211640211,0.1111111111111111,0.074074074074074,0.0211640211640211,0.0,0.0052910052910052,0.0634920634920634,0.0264550264550264,0.0264550264550264,0.0052910052910052,0.0052910052910052,0.0264550264550264,0.037037037037037,0.0052910052910052,0.0158730158730158,0.0105820105820105,0.0105820105820105,0.0899470899470899,0.0476190476190476,0.037037037037037,0.037037037037037,0.0952380952380952
0.15527950310559,0.0186335403726708,0.046583850931677,0.0217391304347826,0.1459627329192546,0.0248447204968944,0.0031055900621118,0.0124223602484472,0.0,0.015527950310559,0.0372670807453416,0.0062111801242236,0.0279503105590062,0.0124223602484472,0.0341614906832298,0.0217391304347826,0.0093167701863354,0.0031055900621118,0.0124223602484472,0.0279503105590062,0.1490683229813664,0.0186335403726708,0.0279503105590062,0.0279503105590062,0.139751552795031
0.075,0.0,0.075,0.1,0.05,0.025,0.0,0.0,0.0,0.05,0.075,0.0,0.025,0.0,0.1,0.025,0.025,0.0,0.0,0.05,0.075,0.05,0.1,0.0,0.1
0.1071428571428571,0.0357142857142857,0.0714285714285714,0.0535714285714285,0.125,0.0357142857142857,0.0,0.0178571428571428,0.0,0.0178571428571428,0.0714285714285714,0.0,0.0178571428571428,0.0,0.0714285714285714,0.0357142857142857,0.0,0.0178571428571428,0.0357142857142857,0.0178571428571428,0.1428571428571428,0.0357142857142857,0.0357142857142857,0.0178571428571428,0.0357142857142857
0.1126760563380281,0.0140845070422535,0.0751173708920187,0.0422535211267605,0.1502347417840375,0.0046948356807511,0.0046948356807511,0.0093896713615023,0.0,0.0234741784037558,0.0845070422535211,0.0093896713615023,0.0422535211267605,0.0046948356807511,0.0375586854460093,0.0375586854460093,0.0,0.0140845070422535,0.0234741784037558,0.0093896713615023,0.1549295774647887,0.0140845070422535,0.0375586854460093,0.0140845070422535,0.0798122065727699
0.1941747572815534,0.029126213592233,0.0679611650485436,0.029126213592233,0.116504854368932,0.0194174757281553,0.0097087378640776,0.0097087378640776,0.0097087378640776,0.0388349514563106,0.0485436893203883,0.0097087378640776,0.0,0.029126213592233,0.0194174757281553,0.029126213592233,0.0097087378640776,0.0,0.0097087378640776,0.0388349514563106,0.1359223300970873,0.0388349514563106,0.029126213592233,0.0097087378640776,0.0679611650485436
0.1707317073170731,0.008130081300813,0.08130081300813,0.032520325203252,0.1544715447154471,0.016260162601626,0.0,0.008130081300813,0.0,0.0,0.073170731707317,0.0,0.008130081300813,0.016260162601626,0.048780487804878,0.016260162601626,0.008130081300813,0.016260162601626,0.0,0.016260162601626,0.1707317073170731,0.008130081300813,0.032520325203252,0.008130081300813,0.1056910569105691
0.1111111111111111,0.0444444444444444,0.0444444444444444,0.0222222222222222,0.0888888888888888,0.0592592592592592,0.0074074074074074,0.0,0.0074074074074074,0.0518518518518518,0.037037037037037,0.0148148148148148,0.0444444444444444,0.0222222222222222,0.037037037037037,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0074074074074074,0.0222222222222222,0.074074074074074,0.037037037037037,0.0444444444444444,0.037037037037037,0.1185185185185185
0.1117318435754189,0.0391061452513966,0.0837988826815642,0.0223463687150838,0.0893854748603352,0.0279329608938547,0.0055865921787709,0.0055865921787709,0.0111731843575419,0.0446927374301676,0.0670391061452514,0.0,0.0055865921787709,0.0223463687150838,0.0558659217877094,0.0223463687150838,0.0055865921787709,0.0111731843575419,0.0223463687150838,0.0391061452513966,0.1117318435754189,0.0446927374301676,0.0446927374301676,0.0223463687150838,0.0837988826815642
0.1473684210526315,0.0947368421052631,0.0210526315789473,0.0210526315789473,0.1684210526315789,0.0842105263157894,0.0,0.0,0.0,0.0736842105263157,0.0105263157894736,0.0,0.0,0.0,0.0105263157894736,0.0105263157894736,0.0210526315789473,0.0,0.0,0.0210526315789473,0.2,0.0421052631578947,0.0,0.031578947368421,0.0421052631578947
0.2258064516129032,0.053763440860215,0.043010752688172,0.032258064516129,0.064516129032258,0.043010752688172,0.010752688172043,0.021505376344086,0.010752688172043,0.021505376344086,0.043010752688172,0.010752688172043,0.043010752688172,0.0,0.032258064516129,0.021505376344086,0.0,0.010752688172043,0.010752688172043,0.032258064516129,0.086021505376344,0.032258064516129,0.010752688172043,0.021505376344086,0.1182795698924731
0.15,0.02,0.06,0.04,0.12,0.0,0.01,0.01,0.01,0.02,0.05,0.0,0.04,0.05,0.02,0.07,0.0,0.04,0.01,0.04,0.11,0.02,0.02,0.05,0.04
0.0350877192982456,0.0175438596491228,0.0526315789473684,0.0526315789473684,0.175438596491228,0.0,0.0175438596491228,0.0,0.0,0.0350877192982456,0.0701754385964912,0.0,0.0175438596491228,0.0350877192982456,0.0175438596491228,0.0350877192982456,0.0175438596491228,0.0175438596491228,0.0,0.0175438596491228,0.1929824561403508,0.0,0.0526315789473684,0.0,0.1403508771929824
0.124223602484472,0.0124223602484472,0.0124223602484472,0.031055900621118,0.1614906832298136,0.0248447204968944,0.0124223602484472,0.0124223602484472,0.0,0.0186335403726708,0.031055900621118,0.0062111801242236,0.0248447204968944,0.0062111801242236,0.0434782608695652,0.031055900621118,0.0,0.0186335403726708,0.0,0.0062111801242236,0.124223602484472,0.0372670807453416,0.0434782608695652,0.0186335403726708,0.1987577639751552
0.1666666666666666,0.0222222222222222,0.0666666666666666,0.0333333333333333,0.1333333333333333,0.0277777777777777,0.0055555555555555,0.0,0.0111111111111111,0.0166666666666666,0.0722222222222222,0.0,0.0333333333333333,0.0055555555555555,0.0277777777777777,0.0388888888888888,0.0,0.0,0.0055555555555555,0.0277777777777777,0.1111111111111111,0.0388888888888888,0.0388888888888888,0.0166666666666666,0.1
0.12,0.0,0.06,0.04,0.28,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.22,0.04,0.02,0.0,0.06
0.1034482758620689,0.0,0.0517241379310344,0.0,0.0862068965517241,0.0344827586206896,0.0,0.0344827586206896,0.0,0.1034482758620689,0.0344827586206896,0.0517241379310344,0.0172413793103448,0.0,0.0689655172413793,0.0172413793103448,0.0,0.0,0.0,0.0,0.0517241379310344,0.1206896551724138,0.0689655172413793,0.0172413793103448,0.1379310344827586
0.1923076923076923,0.0256410256410256,0.0512820512820512,0.0128205128205128,0.141025641025641,0.0256410256410256,0.0,0.0128205128205128,0.0,0.0256410256410256,0.0641025641025641,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0384615384615384,0.0384615384615384,0.0256410256410256,0.0,0.0,0.0256410256410256,0.0897435897435897,0.0128205128205128,0.0641025641025641,0.0641025641025641,0.0512820512820512
0.2131147540983606,0.0655737704918032,0.0327868852459016,0.0163934426229508,0.1147540983606557,0.0163934426229508,0.0,0.0,0.0,0.0655737704918032,0.0163934426229508,0.0,0.0,0.0,0.0491803278688524,0.0,0.0,0.0,0.0,0.0327868852459016,0.1967213114754098,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.1147540983606557
0.1583333333333333,0.025,0.0166666666666666,0.0166666666666666,0.1833333333333333,0.0416666666666666,0.0083333333333333,0.0,0.0,0.025,0.0083333333333333,0.0,0.0083333333333333,0.0083333333333333,0.0416666666666666,0.0166666666666666,0.0083333333333333,0.0,0.0,0.0083333333333333,0.175,0.0333333333333333,0.0416666666666666,0.0083333333333333,0.1666666666666666
0.1282051282051282,0.0,0.0769230769230769,0.0256410256410256,0.1794871794871795,0.0,0.0,0.0256410256410256,0.0,0.0512820512820512,0.0512820512820512,0.0,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0512820512820512,0.0,0.0,0.0,0.0,0.1538461538461538,0.0769230769230769,0.0,0.0,0.1025641025641025
0.1111111111111111,0.0123456790123456,0.074074074074074,0.0123456790123456,0.1419753086419753,0.0246913580246913,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0493827160493827,0.0,0.0185185185185185,0.0308641975308641,0.0679012345679012,0.0246913580246913,0.0,0.0123456790123456,0.0061728395061728,0.037037037037037,0.1358024691358024,0.0246913580246913,0.0617283950617283,0.0246913580246913,0.1172839506172839
0.21875,0.03125,0.03125,0.0625,0.15625,0.0,0.0,0.0,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.03125,0.15625,0.0,0.0,0.03125,0.09375
0.1147540983606557,0.0983606557377049,0.081967213114754,0.0163934426229508,0.1147540983606557,0.0327868852459016,0.0,0.0327868852459016,0.0,0.0491803278688524,0.0983606557377049,0.0,0.0163934426229508,0.0163934426229508,0.0491803278688524,0.0327868852459016,0.0,0.0,0.0,0.0,0.1311475409836065,0.0327868852459016,0.0491803278688524,0.0,0.0327868852459016
